animeID,name,scored
602,Bishoujo Senshi Sailor Moon R,7.75
603,Sensitive Pornograph,6.99
604,Umi ga Kikoeru,6.89
605,Nanami-chan,6.26
606,Binchou-tan,6.98
607,Bomberman Jetters,7.07
608,Osakana wa Ami no Naka,5.08
609,Chijoku Shinsatsushitsu,6.39
610,Yuki no Joou (TV),7.16
611,Boku no Sexual Harassment,5.9
612,School Days ONA,6.17
613,Kaze wo Mita Shounen,6.81
614,RahXephon: Pluralitas Concentio,7.12
615,Tokyo Godfathers,8.31
616,Tenjou Tenge: The Past Chapter,7.14
617,Bleach: Memories in the Rain,7.21
618,Zoids,7.46
619,Zoids Shinseiki/Zero,7.43
620,Chou Henshin Cosprayers Specials,5.09
621,Kishin Houkou Demonbane,6.17
622,Burn Up!,6.19
623,Tenamonya Voyagers,6.28
624,Nanaka 6/17,6.71
625,Detective Conan Movie 02: The Fourteenth Target,8
626,Detective Conan Movie 03: The Last Wizard of the Century,8.14
627,Gasaraki,6.71
628,Miami Guns,6.58
629,Otaku no Video,7.19
630,Pugyuru,5.83
631,Shinigami no Ballad.,7.01
632,Ergo Proxy,7.99
633,Arion,6.3
634,Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,7.5
635,xxxHOLiC Movie: Manatsu no Yoru no Yume,8.02
636,Mahoujin Guru Guru Movie,6.96
637,Kokoro Toshokan,6.56
638,NieA Under 7,6.93
639,Ghost in the Shell: Stand Alone Complex 2nd GIG,8.55
640,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,7.38
641,Android Ana Maico 2010,6.54
642,I&#039;&#039;s Pure,6.99
643,Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,7.58
644,Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game,7.44
645,Tactical Roar,6.51
646,Initial D Battle Stage,7.64
647,Virgin Night,6.54
648,King of Fighters: Another Day,6.42
649,Uba,6.03
650,Jinshin Yuugi,5.83
651,Ginsoukikou Ordian,5.77
652,Choujuushin Gravion,6.46
653,Sister Princess,6.52
654,Samurai Spirits 2: Asura Zanmaden,6.25
655,Narue no Sekai,6.67
656,Konjiki no Gash Bell!!: 101 Banme no Mamono,7.39
657,Kiba,7.4
658,Jinki:Extend OVA,6.3
